"url";"reach_rank";"delta";"country";"country_rank";"populartity"
"http://www.collaborativeconsumption.com/directoryitem/collaborate-corporation-limited/www.collaboratecorp.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.collegebookrenter.com";"1369425";"-1058038";"696177";"United States";"1440478"
"https://collegelabor.org/";"3927676";"-662387";"N/A";"N/A";"3498375"
"http://www.collegebikeshare.com";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.coloft.com/";"1885452";"-326934";"N/A";"N/A";"1857321"
"http://colunching.fr/";"13004046";"N/A";"N/A";"N/A";"14007631"
"http://www.colunching.com/en/";"1156367";"+530683";"64980";"France";"1084340"
"http://www.combinat56.de";"1421807";"-50993";"142517";"Germany";"1431498"
"http://www.comborides.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.commentreparer.com/";"134521";"+19019";"6792";"France";"161328"
"http://communauto.com/";"305779";"+28967";"14564";"Canada";"314098"
"https://communi.st/";"20565636";"N/A";"N/A";"N/A";"21210232"
"http://www.communiteach.com";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.communitycar.com/";"3628285";"+1254019";"N/A";"N/A";"3105479"
"http://communitygarden.org.au/";"3861007";"+2777607";"N/A";"N/A";"4662199"
"http://www.communitylend.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.compareandshare.com/about-us/";"469334";"-102995";"N/A";"N/A";"466266"
"http://www.comptoir-numerique.fr/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.comunitats.com/en/";"4319365";"-3465096";"N/A";"N/A";"4324395"
"http://www.blablacar.com;";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.connectbyhertz.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.consumerclassroom.eu/";"1735790";"+822300";"N/A";"N/A";"1749547"
"http://www.collaborativeconsumption.com/directoryitem/content-runner/www.ContentRunner.com";"306204";"+84369";"201147";"United States";"329791"
"https://www.cookening.com/";"615430";"-9655";"58921";"France";"655408"
"http://www.collaborativeconsumption.com/directoryitem/coopiloto/www.coopiloto.net";"306204";"+84369";"201147";"United States";"329791"
"http://copious.com/";"1904297";"+791026";"N/A";"N/A";"2351960"
"http://cospot.ge/";"7478286";"-10271868";"N/A";"N/A";"6758436"
"http://www.costockage.fr/";"545451";"+132774";"28735";"France";"517168"
"http://www.couchtycoon.net";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.couchsurfing.org";"226402";"-43577";"202113";"United States";"250698"
"http://www.coursefinder.com.au";"443553";"+47431";"34758";"Australia";"449348"
"http://www.covoiturage-dynamique.eu/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.covoiturage.fr/";"2549457";"+2847247";"N/A";"N/A";"2862075"
"http://cowobo.de/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.coworkinn.de/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://coworking.de/";"1792613";"-40285";"94025";"Germany";"2065023"
"http://coworking-bremen.net/";"17679178";"N/A";"N/A";"N/A";"18224408"
"http://www.coworkingcologne.de/";"8785417";"+5493754";"N/A";"N/A";"8047890"
"http://www.coworking-darmstadt.de/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.coworkingdijon.org/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://coworking.pbworks.com/";"6227";"-318";"2220";"United States";"6455"
"http://coworking-erfurt.de/";"10570567";"N/A";"N/A";"N/A";"8854748"
"http://coworkinglarochelle.fr/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.coworkinglille.com/";"3942468";"-4138792";"N/A";"N/A";"4182504"
"http://www.coworking-magdeburg.de/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.coworkingmunich.de/";"17573721";"+9667360";"N/A";"N/A";"18163607"
"http://www.coworking-nuernberg.de/";"6207347";"+222193";"N/A";"N/A";"5633009"
"http://coworking-stuttgart.de/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.craftshopsindia.com";"206995";"-27450";"26004";"India";"205326"
"http://www.craigslist.com";"87098";"+15498";"26969";"United States";"120050"
"http://www.crashmypad.com/";"15304769";"-6603351";"N/A";"N/A";"14249668"
"http://www.creativemedialab.de/";"16950334";"+10922794";"N/A";"N/A";"17687478"
