"name";"url";"year";"location";"invest";"description"
"Carbon Voyage";"http://www.collaborativeconsumption.com/directoryitem/carbon-voyage/www.carbonvoyage.com";"N/A";"London";"N/A";"Voyage Market is a B2B marketplace that leverages their growing user base to buy and sell freight journeys at discounted rates through sharing freight journeys and filling empty backloads."
"CarCity (Italy)";"http://www.carcityclub.it";"2002";"Turin";"No";"N/A"
"Carclub";"https://www.carclub.de/";"2015";"N/A";"N/A";"Carclub is the first and only community based co-owning service for special cars globally."
"Cardswap";"http://cardswap.ca/";"2009";"Toronto";"N/A";"N/A"
"Care To Trade";"http://www.caretotrade.com/";"N/A";"N/A";"N/A";"N/A"
"Career Curb";"http://www.collaborativeconsumption.com/directoryitem/career-curb/www.careercurb.com.au";"2014";"Sydney";"N/A";"Career Curb is a career specific community that allows you to learn from others to make important career decisions. Develop your skills through our free career communities by raising questions, sharing ideas and collaborating with others to grow your career in the right direction."
"Career Intercom";"http://www.collaborativeconsumption.com/directoryitem/career-intercom/www.careerinter.com";"2008";"Philadelphia";"N/A";"Career Intercom connects job seekers to each other so they can share leads. Leads that one job seeker can’t use is useful to another job seeker."
"Carona Solidaria";"http://www.caronasolidaria.com.br";"N/A";"N/A";"N/A";"N/A"
"Caroneiros";"http://www.caroneiros.com.br";"N/A";"N/A";"N/A";"N/A"
"Caronetas";"http://www.caronetas.com.br/";"2010";"Sao Paulo";"Yes";"N/A"
"Carplus (UK)";"http://www.carplus.org.uk/";"1999";"Leeds";"No";"N/A"
"Carpool Connect";"http://www.carpoolconnect.com";"N/A";"N/A";"No";"N/A"
"Carpool Date";"http://www.carpooldate.nl/";"2009";"N/A";"No";"N/A"
"Carpool King";"http://carpoolking.com.au/";"2007";"N/A";"No";"N/A"
"Carpool One";"http://www.carpoolone.com.au/";"N/A";"N/A";"N/A";"N/A"
"Carpool Plaza";"http://www.carpoolplaza.be";"N/A";"Brussels";"N/A";"N/A"
"Carpool Plein";"http://www.carpoolplein.nl/";"N/A";"N/A";"N/A";"N/A"
"Carpooling";"http://www.carpooling.com";"2001";"W";"Yes";"N/A"
"Carpooling Network";"http://www.carpoolingnetwork.com";"2005";"Quebec";"Yes";"N/A"
"CarpoolWorld";"http://www.carpoolworld.com/";"2000";"New York";"No";"N/A"
"Carrot México";"http://www.collaborativeconsumption.com/directoryitem/carrot-mexico/www.carrot.mx";"N/A";"Mexico City";"N/A";"Carpool and car sharing service."
"CarShare (Vermont)";"http://www.carsharevt.org/";"2008";"Burlington";"No";"N/A"
"CarShare HFX";"http://carsharehfx.ca/#";"2007";"Halifax";"N/A";"N/A"
"CarShare Vermont";"http://www.carsharevt.org/";"2008";"Burlington";"N/A";"N/A"
"Carzapp";"http://www.carzapp.net/";"2012";"Berlin";"N/A";"N/A"
"CasaVersa";"http://www.casaversa.com/";"N/A";"N/A";"N/A";"N/A"
"Casserole";"http://www.casseroleclub.com/";"2012";"Surrey";"N/A";"N/A"
"Catarse";"http://catarse.me/en";"N/A";"N/A";"N/A";"N/A"
"Catchalift";"http://www.catchalift.com/";"N/A";"N/A";"N/A";"N/A"
"Central Working";"http://www.centralworking.com/";"2011";"London";"N/A";"N/A"
"ChanceXChange";"http://www.chancexchange.com/";"N/A";"N/A";"N/A";"N/A"
"Chaos Cooking";"http://www.chaoscooking.com";"2009";"New York City";"N/A";"Good People + Good Food = Good Times"
"Chefspotting";"http://www.chefspotting.com.au/";"N/A";"Sydney";"N/A";"N/A"
"Chegg";"http://www.chegg.com/";"2007";"Santa Clara California";"N/A";"N/A"
"Chicy Little Monkeys";"http://www.collaborativeconsumption.com/directoryitem/chicy-little-monkeys/www.chicylittlemonkeys.com";"2014";"Somerset";"N/A";"We buy and sell gorgeous pre-loved but perfect children’s designer and branded clothing, age 12 months to 12 years."
"Children Toy Foundation, India";"http://ctf.vishwa.com/ctf.html";"1982";"Mumbai";"No";"N/A"
"chouxfleurs et pissenlits";"http://www.chouxfleursetpissenlits.com/";"N/A";"N/A";"N/A";"N/A"
"Ciluna";"http://www.ciluna.de/";"2010";"N/A";"N/A";"N/A"
"Cinese";"http://www.collaborativeconsumption.com/directoryitem/cinese/www.cinese.me";"2012";"Sao Paulo";"N/A";"Cinese connects people who are interested in teaching and learning together. Share knowledge and skills with your local community. Get together with people who share your interests and passions."
"circleup";"https://circleup.com/";"N/A";"N/A";"N/A";"N/A"
"circulivre";"http://circul-livre.blogspirit.com/";"N/A";"paris";"N/A";"N/A"
"Citi Bike";"http://citibikenyc.com/";"N/A";"N/A";"N/A";"N/A"
"Citizenre";"http://renu.citizenre.com/index.ph";"2005";"Wilmington";"Yes";"N/A"
"Citizenspace";"http://citizenspace.us/";"2006";"San Francisco";"N/A";"N/A"
"Citizinvestor";"http://www.citizinvestor.com/";"2012";"Tampa";"N/A";"N/A"
"City Car Club";"http://www.citycarclub.net/";"1999";"Helsinki";"No";"N/A"
"City Carshare";"http://www.citycarshare.org";"2001";"San Francisco";"No";"N/A"
"City Fruit";"http://cityfruit.org/";"N/A";"N/A";"N/A";"N/A"
"Citybike";"http://www.citybikewien.at/";"2003";"Vienna";"No";"N/A"
"Citycar";"http://www.citycarclub.co.uk";"2001";"Leeds";"No";"N/A"
"Cityhop";"http://www.cityhop.co.nz";"2007";"Auckland";"No";"N/A"
"CityWheels";"http://www.CityWheelsCleveland.com/";"N/A";"N/A";"N/A";"N/A"
"Cityzencar";"https://fr.cityzencar.com/";"2011";"N/A";"N/A";"N/A"
"Classic Car Club";"http://www.classiccarclub.co.uk/";"1995";"London";"No";"N/A"
"Classic Car Share";"http://www.classiccarshare.com/";"1995";"Palatine";"No";"N/A"
"Cleaning Exec Cleaning Services";"http://cleaningexec.com";"2014";"New York";"N/A";"We are making getting your home clean simple again. No more complicated quotes and cluttered websites. Just choose one of our flat rate services that fits your home, select a date that works, sit back and relax. Our professional team will take care of the rest, guaranteeing the very best service."
"Clickshipit";"http://www.clickshipit.com/";"N/A";"N/A";"N/A";"N/A"
"Closest Closet";"http://www.closestcloset.com/";"2009";"Portland";"No";"N/A"
"Clothing Exchange";"http://clothingexchange.com.au/";"2011";"Melbourne";"N/A";"N/A"
"Clothing Swap";"http://www.clothingswap.org/";"N/A";"san Francisco";"N/A";"N/A"
"Clouditems";"https://clouditems.com/beta/mycloud/login/";"N/A";"N/A";"N/A";"N/A"
"Club Office";"http://www.club-office.com/en/";"2008";"Berlin";"No";"N/A"
"Club Sportiva";"http://www.clubsportiva.com/";"2003";"Silicon Valley";"No";"N/A"
"co-recyclage";"http://www.co-recyclage.com/";"N/A";"N/A";"N/A";"N/A"
"co-transport";"http://www.co-transport.com/";"N/A";"N/A";"N/A";"N/A"
"Co-up";"http://co-up.de/";"2007";"Berlin";"No";"N/A"
"Co-up";"http://co-up.com/share/";"N/A";"N/A";"N/A";"N/A"
"coab";"http://coab.fr";"N/A";"paris";"N/A";"N/A"
"CoAbode";"http://www.coabode.com/";"2001";"Los Angeles";"No";"N/A"
"Cofolio";"http://mycofolio.com/";"2010";"N/A";"N/A";"N/A"
"COINT";"http://coint.com";"2013";"London";"N/A";"COINT is a new marketplace that has its very own digital currency. We are creating a new platform based on the idea that everyone we can ever meet knows and owns things that we don’t. Set out to create a global peer to peer network where you can share your gift with the rest of the world, we hope to provide a new sharing economy in line with the new dynamics of the 21st century."
"Collaborate Corporation Limited";"http://www.collaborativeconsumption.com/directoryitem/collaborate-corporation-limited/www.collaboratecorp.com";"2014";"Sydney";"N/A";"Collaborate Corporation Limited (ASX: CL8) operates peer-to-peer marketplaces where the ‘trust’ it creates makes it possible for individuals and companies to transact with each other for mutual benefit."
"College Book Renter";"http://www.collegebookrenter.com";"N/A";"N/A";"N/A";"N/A"
