"name";"url";"category";"location";"description"
"1419";"http://1419art.weebly.com";"creativity, media &amp; the arts";"1419 Washington Ave S  , Minneapolis 55454, Minnesota, United States";"1419 is a student-run interdisciplinary art space and residency devoted to the creation and exhibition of experimental projects."
"15gifts";"http://www.15gifts.com";"technology &amp; data";"Brighton";"15gifts.com is the first intelligent gift recommendation engine which learns from the input of the people who use the site.Each time a search is carried out on the site the engine learns from the user's input, resulting in 15 gift ideas that are tailored specifically to the personality of the person you looking to purchase a gift for.15gifts is currently partnered with over 75 high-quality, UK based retailers enabling the site engine to provide many hard-to-find and unique gift suggestions."
"18 Reasons";"http://www.18reasons.org";"food &amp; drink";"593 Guerrero Street , San Francisco 94110, California, United States";"18 Reasons brings people together to deepen our relationship to food and each other. Through an innovative community center and thought provoking, fun programming, we inspire action and foster collaboration toward creating a just and sustainable food system."
"1800Accountant";"http://www.1800accountant.com/";"finance &amp; economics";"united_states";"1800Accountant is a free on-line resource for businesses and individuals in need of accounting, tax and related financial services."
"1871 Chicago";"http://www.1871.com/";"business &amp; innovation";"222 W. Merchandise Mart Plaza, 12th Floor Chicago, Illinois 60654";"N/A"
"1band1brand";"http://www.1band1brand.com/";"creativity, media &amp; the arts";"N/A";"1band 1brand is a free, subscription-based digital platform that introduces emerging, independent musicians and fashion labels to influential young adults who want to stay connected by encouraging them to hear, wear and share."
"1BOG";"http://www.1bog.org";"government";"164 South Park , San Francisco 94101, California, United States";"One Block Off the Grid is the smart, new way to go solar through collective purchasing. 1BOG offers group discounts on panels and installation in more than 15 U.S. cities."
"1st fuel";"http://firstfuel.com/how-it-works";"energy";"N/A";"N/A"
"1st Home Exchange";"http://www.1sthomeexchange.com";"N/A";"N/A";"1stHomeExchange.com is an international home exchange website with listings in 130+ countries. Home exchanging is a vacation alternative where you allow someone else to stay in your home while you stay in theirs.  You don’t need to pay for anything other than transportation to and from your destination. You can also arrange to exchange cars.With a home exchange vacation, not only can you save significantly but you also get to ""live like a local""."
"1SYNC";"http://www.gs1us.org/1sync";"technology &amp; data";"N/A";"Uses multi-industry standards for product identification in the development of tools to synchronize information."
"2010 Tom's Turkey Drive";"http://www.2-harvest.org/turkeydrive";"N/A";"PO Box 4000 , Spokane Valley 99037, Washington, United States";"The 11th annual Tom's Turkey Drive is the premier turkey and food drive in the Inland Northwest. Food and money raised provide area families with a Thanksgiving meal and help fight hunger throughout the holiday season and into the new year. Donations are first used to help families in need at Thanksgiving. Gifts also support Second Harvest's work to lead the fight against hunger in the region."
"20x200";"http://www.20x200.com";"creativity, media &amp; the arts";"6 Spring Street , New York 10012, New York, United States";"20x200 offers high-quality artwork starting at $20 per print. New prints are introduced every week in an email newsletter."
"21 Acres";"http://21acres.org/rentals/kitchen";"food &amp; drink";"N/A";"N/A"
"23hq";"http://23hq.com/";"creativity, media &amp; the arts";"N/A";"N/A"
"23rd Studios";"http://www.23rdstudios.com";"creativity, media &amp; the arts";"N/A";"N/A"
"2DM";"http://www.2dm.it";"creativity, media &amp; the arts";"26 Via Morimondo 11A / 2A , Milan 20143, Italy";"An Italy-based creative hub that unites the best of young, forward-looking talent.Comprising a talent management agency which represents top-level fashion photographers, stylists and illustrators and a ""creative hive"" that runs one of the most highly-read creative web magazines in Italy (www.2dmblogazine.it) as well as several other initiatives, including the popup arts space Wonder-Room.We believe in quality creativity, social engagement, innovation, genuine beauty, and artisanal craft."
"2Good2Toss";"http://www.2good2toss.com";"upcycling &amp; recycling";"N/A";"Online exchange platform for reusable building materials and household items."
"2nd Chance Project";"http://www.2ndchanceproject.co.uk/view/1/home";"education";"Second Chance Project Unit 1, Henfield Business Park Westerleigh Road Henfield Bristol BS36 2UP";"2nd Chance utilises a range of projects and services to engage people and affect lifelong change. Our aim is to raise aspirations, channel potential and enable people to impact positively on their own communities using education, training and work based initiatives."
"2threads";"http://www.2threads.com";"fashion &amp; clothing";"N/A";"Social network for people with a penchant for fashion."
"2tor";"http://2tor.com/";"education";"59 Chelsea Piers, Suite 200  , New York 10011, NY, united_states";"2tor supplies universities with the tools, expertise, capital, and global recruiting needed to compete in a space currently dominated by mediocre programs."
"32bsas";"http://www.32bsas.com";"travel";"N/A";"32bsas where you can ask questions and receive answers about Argentina and Buenos Aires from other members of the community."
"33needs";"http://33needs.com/";"finance &amp; economics";"united_states";"33needs helps socially conscious startups raise money through small investments from ordinary people."
"360 Chestnut";"http://www.360chestnut.com/";"energy";"N/A";"Save money. Save energy. Live better."
"360 Dissertations";"http://www.360dissertations.com.my/";"education";"Malaysia";"360 Dissertations helps research students in Malaysia through its range of research support services. The firm assists PhD and Masters-level candidates in writing their theses and dissertations, as well as in reviewing their work. It further supports students with the analysis of research data and also provides publication support for journal papers."
"360Locate";"http://www.360Locate.com";"technology &amp; data";"N/A";"Fleet Management solutions to keep your vehicles in sight.  You will manage only what you can measure.  360Locate allows you to measure remotely, effortlessly, without overwhelming you with details.  We allow you to manage exceptions.We focus on managing assets that are remote or mobile, essentially out of sight.  We have a portfolio of sensors/activators to bring to you information needed to effectively monitor and interact with these remote assets.We have provided solutions for fleets large and small.  We cover a wide spectrum of needs.  We have managed large expensive construction equipment, generators, busees, trucks, reefers, flat beds, tankers, pickups, vans and passenger vehicles.For more information please visit www.360locate.com"
"37signals";"http://37signals.com";"technology &amp; data";"N/A";"Offers web-based apps that make it easier to collaborate, share, discuss, and get work done."
"3BL Media";"http://3blmedia.com/";"business &amp; innovation";"16 Centre Street Suite 211  , Northampton 01060, MA, United States";"3BL Media is a Corporate Responsibility and Sustainability Communications firm that utilizes Social Media, Bloggers, and Podcasts to tell the CSR stories and initiatives of Corporations, Non Profits, and Individuals alike."
"3D Hubs";"http://3dhubs.com/";"business &amp; innovation";"Amsterdam, Holland";"Collaborative Production:3D Hubs enables everyone with a 3D printer to join building the largest production network in the world…Earn money with your 3D printer:How often is your 3D printer not printing? Use this overcapacity to make parts for local 3D Hubs usersFast &amp; affordable 3D printing:Need something 3D printed? It's easy with local 3D Hubs producing for you just around the corner."
"3D hubs";"http://www.3dhubs.com/";"diy";"N/A";"N/A"
"3D printing design quest: GE";"http://geforcee.geblogs.com/3d-printing-design-quest-and-the-winners-are%E2%80%A6/";"business &amp; innovation";"N/A";"N/A"
"3D printing model";"http://www.3dprintingmodel.com/marketplace/indexMarketPlace.php";"diy";"N/A";"N/A"
"3D Systems, Inc.";"http://cubify.com/cube/index.aspx";"diy";"N/A";"Cubify lets you use the magic of 3D printing to turn your ideas into reality"
"3Degrees";"http://www.3degreesinc.com";"energy";"38 Keyes Avenue , San Francisco 94129, CA, United States";"3Degrees' mission is to mitigate the effects of climate change by accelerating the low-carbon, renewable energy economy. 3Degrees realizes this mission by helping its utility, business, LEED green building and other partners utilize environmental commodities to build stakeholder value. Through these partnerships, 3Degrees increases demand for Renewable Energy Certificates (RECs) and carbon offsets, channels capital to renewable energy and carbon reduction projects and improves the efficiency of environmental markets.Winner of the U.S. Department of Energy's Green Power Leadership Award four straight years, 3Degrees is headquartered in San Francisco and operates regional offices in Portland, St. Louis and Seattle."
"3dna";"http://3dna.us/";"N/A";"N/A";"N/A"
"3rd Home";"http://wadeshealy.3rdhome.com";"N/A";"N/A";"Luxury home exchange program."
"3rd Ward";"http://www.3rdward.com";"creativity, media &amp; the arts";"195 Morgan Ave , Brooklyn  11237, New York, United States";"3rd Ward is a member-based resource center for creative professionals in East Williamsburg, Brooklyn. We are committed to providing equipment, space, opportunities and a dynamic creative network to our members and the community-at-large. Membership allows unlimited access to multiple photo studios, a professional wood &amp; metal shop, a fully-loaded digital media lab, a jewelry studio, shared &amp; private work space and a large selection of interdisciplinary classes -- all for a low, flat monthly fee."
"3Scale";"http://www.3scale.net/";"technology &amp; data";"N/A";"N/A"
"3Space";"http://3space.org";"real estate";"N/A";"Our mission: ‘For all empty property to be recognised as an available resource that can deliver immediate social benefits and be a catalyst for longer term regeneration’It can be difficult for an individual charity to negotiate with a landlord for short term use of an individual property. There is also little incentive for the landlord to make one property available on its own. However as an intermediary we believe we can offer major incentives to landlords and reduce the legislative burden and negotiation issues for charities who want to try this type of use."
"3wSMS";"http://www.3wsms.com";"business &amp; innovation";"Moctezuma 4630-6 , Guadalajara 45050, Jalisco, Mexico";"A totally new communication tool and technology specially designed for organizations and people to easily spread their ideas, make an inteligent use of ICT's and, at the same time, to contribute to the reduction of the Digital Divide our world suffers."
"40 Billion";"http://www.40billion.com/index.asp?ovr=1";"finance &amp; economics";"N/A";"N/A"
"40 Billion.com";"http://40billion.com";"business &amp; innovation";"N/A";"N/A"
"410 Labs";"http://410labs.com";"N/A";"N/A";"N/A"
"42Floors";"http://42floors.com/";"real estate";"N/A";"N/A"
"4adman";"http://www.4pm.ie";"creativity, media &amp; the arts";"Richmond House , 118 Lwr Rathmines Road 6, Dublin, Ireland";"4adman is a web and application design service with a complete web2print engine."
"4B Brain Buiders for Business";"http://www.evolcomm.com";"business &amp; innovation";"Rua Sargento Geraldo Berti 325 , Caçapava 12280-052, SP, brazil";"Coaching, Mentoring, Consulting, Business Development, Strategic Planning"
"4chan";"http://www.4chan.org/";"technology &amp; data";"N/A";"4chan is a simple image-based bulletin board where anyone can post comments and share images. 4chan's collaborative-community format is copied from one of the most popular forums in Japan, Futaba Channel. Different boards are dedicated to different topics, from Japanese anime, manga, and culture to videogames, music, and photography. Users do not need to register a username before participating in the community."
